Grant Years,State Programs,Batch Year,County Number,County Name,Total Students Awarded,Total Dollars Awarded,State Name,GNIS Number,GEO Coordinates,Grant Year End Date
2019-20,All Iowa Opportunity Scholarship,20,43,Harrison,2,9288,Iowa,465231,POINT (-95.8169209 41.6828528),2020
2019-20,Kibbie Grant,20,90,Wapello,94,99555,Iowa,465278,POINT (-92.4094499 41.03058450000001),2020
2019-20,Kibbie Grant,20,17,Cerro Gordo,66,71021,Iowa,465206,POINT (-93.2608184 43.081557700000005),2020
2019-20,Last Dollar Scholarship,20,50,Jasper,60,126210,Iowa,465238,POINT (-93.053765 41.6860394),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,22,Clayton,0,0,Iowa,465210,POINT (-91.34143280000002 42.8447493),2020
2019-20,All Iowa Opportunity Scholarship,20,25,Dallas,21,83950,Iowa,465213,POINT (-94.0397374 41.6848862),2020
2019-20,National Guard Educational Assistance,20,83,Shelby,2,9555,Iowa,465271,POINT (-95.31021130000002 41.6850926),2020
2019-20,Last Dollar Scholarship,20,94,Webster,115,202061,Iowa,465282,POINT (-94.18178810000002 42.4279662),2020
2019-20,Vocational Technical Tuition Grant,20,57,Linn,210,125457,Iowa,465245,POINT (-91.5989646 42.0789478),2020
2019-20,Futue Ready Grant,20,91,Warren,2,3500,Iowa,465279,POINT (-93.5613594 41.3343735),2020
2019-20,GEAR UP Iowa Scholarship,20,5,Audubon,0,0,Iowa,465194,POINT (-94.9058222 41.6845893),2020
2019-20,GEAR UP Iowa Scholarship,20,24,Crawford,1,300,Iowa,465212,POINT (-95.3819678 42.0372125),2020
2019-20,Iowa Tuition Grant,20,71,Obrien,71,367195,Iowa,465259,POINT (-95.6248784 43.0837527),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,41,Hancock,0,0,Iowa,465229,POINT (-93.7342723 43.0818861),2020
2019-20,All Iowa Opportunity Scholarship,20,38,Grundy,1,4644,Iowa,465226,POINT (-92.7914177 42.4018651),2020
2019-20,All Iowa Opportunity Scholarship,20,26,Davis,3,8778,Iowa,465214,POINT (-92.4097173 40.7476891),2020
2019-20,Iowa Tuition Grant For-Profit,20,58,Louisa,1,200,Iowa,465246,POINT (-91.2596184 41.2185073),2020
2019-20,Futue Ready Grant,20,60,Lyon,0,0,Iowa,465248,POINT (-96.2102924 43.380497),2020
2019-20,GEAR UP Iowa Scholarship,20,93,Wayne,0,0,Iowa,465281,POINT (-93.3273639 40.73947020000001),2020
2019-20,All Iowa Opportunity Scholarship,20,53,Jones,2,6049,Iowa,465241,POINT (-91.1314352 42.1212397),2020
2019-20,Vocational Technical Tuition Grant,20,66,Mitchell,16,11051,Iowa,465254,POINT (-92.7890315 43.3564124),2020
2019-20,Kibbie Grant,20,32,Emmet,17,18239,Iowa,465220,POINT (-94.6784803 43.37802250000001),2020
2019-20,All Iowa Opportunity Scholarship,20,15,Cass,0,0,Iowa,465204,POINT (-94.9278266 41.3314876),2020
2019-20,Iowa Tuition Grant,20,76,Pocahontas,33,156288,Iowa,465264,POINT (-94.67874660000001 42.73413510000001),2020
2019-20,Educational Training Voucher,20,86,Tama,0,0,Iowa,465274,POINT (-92.5325425 42.07981170000001),2020
2019-20,Kibbie Grant,20,27,Decatur,14,12265,Iowa,465215,POINT (-93.7862815 40.7376827),2020
2019-20,Kibbie Grant,20,93,Wayne,11,11975,Iowa,465281,POINT (-93.3273639 40.73947020000001),2020
2019-20,GEAR UP Iowa Scholarship,20,76,Pocahontas,0,0,Iowa,465264,POINT (-94.67874660000001 42.73413510000001),2020
2019-20,Iowa Tuition Grant,20,10,Buchanan,54,288142,Iowa,465199,POINT (-91.8378392 42.4707777),2020
2019-20,Educational Training Voucher,20,12,Butler,0,0,Iowa,465201,POINT (-92.7901934 42.7315661),2020
2019-20,Iowa Tuition Grant,20,93,Wayne,19,81439,Iowa,465281,POINT (-93.3273639 40.73947020000001),2020
2019-20,Iowa Tuition Grant For-Profit,20,26,Davis,0,0,Iowa,465214,POINT (-92.4097173 40.7476891),2020
2019-20,Last Dollar Scholarship,20,47,Ida,17,29888,Iowa,465235,POINT (-95.5134962 42.3868747),2020
2019-20,National Guard Educational Assistance,20,27,Decatur,0,0,Iowa,465215,POINT (-93.7862815 40.7376827),2020
2019-20,Kibbie Grant,20,10,Buchanan,27,39880,Iowa,465199,POINT (-91.8378392 42.4707777),2020
2019-20,Kibbie Grant,20,59,Lucas,7,8512,Iowa,465247,POINT (-93.3277207 41.0293738),2020
2019-20,Last Dollar Scholarship,20,11,Buena Vista,52,100044,Iowa,465200,POINT (-95.15114900000002 42.7354936),2020
2019-20,Educational Training Voucher,20,27,Decatur,0,0,Iowa,465215,POINT (-93.7862815 40.7376827),2020
2019-20,GEAR UP Iowa Scholarship,20,48,Iowa,0,0,Iowa,465236,POINT (-92.065524 41.6863229),2020
2019-20,National Guard Educational Assistance,20,44,Henry,7,43854,Iowa,465232,POINT (-91.5445241 40.9879383),2020
2019-20,GEAR UP Iowa Scholarship,20,61,Madison,0,0,Iowa,465249,POINT (-94.01556190000001 41.33071420000001),2020
2019-20,Educational Training Voucher,20,98,Worth,1,2500,Iowa,465286,POINT (-93.2608476 43.3773984),2020
2019-20,Vocational Technical Tuition Grant,20,70,Muscatine,53,32185,Iowa,465258,POINT (-91.1127562 41.4839221),2020
2019-20,National Guard Educational Assistance,20,59,Lucas,1,8042,Iowa,465247,POINT (-93.3277207 41.0293738),2020
2019-20,Iowa Tuition Grant,20,48,Iowa,67,346998,Iowa,465236,POINT (-92.065524 41.6863229),2020
2019-20,Governor Terry E. Branstad Iowa State Fair Scholarship,20,65,Mills,0,0,Iowa,465253,POINT (-95.62132670000001 41.0334523),2020
2019-20,Educational Training Voucher,20,59,Lucas,1,2500,Iowa,465247,POINT (-93.3277207 41.0293738),2020
